Index Holdings and weightings as of 6:38 PM ET 03/21/2025,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
PRU,Prudential Financial Inc,0.57%,110.27,-0.51,-0.46%,3.27 M,104.45 - 130.55
HIG,"The Hartford Insurance Group, Inc.",0.50%,119.25,-0.42,-0.35%,3.8 M,94.47 - 124.90
ACGL,Arch Capital Group Ltd,0.50%,91.98,-0.47,-0.51%,3.43 M,87.42 - 116.47
WTW,Willis Towers Watson PLC,0.48%,332.71,-1.80,-0.54%,0.89 M,245.04 - 344.14
NDAQ,Nasdaq Inc,0.45%,75.55,-1.36,-1.77%,3.05 M,58.10 - 84.15
MTB,M&T Bank Corp,0.43%,178.25,+1.34,+0.76%,8.88 M,133.03 - 225.70
BRO,Brown & Brown Inc,0.41%,118.52,-1.28,-1.07%,3.02 M,80.33 - 121.25
STT,State Street Corp,0.38%,90.55,+0.03,+0.03%,4.71 M,70.20 - 103.00
FITB,Fifth Third Bancorp (OH),0.38%,39.48,+0.05,+0.13%,21.01 M,33.82 - 49.07
RJF,Raymond James Financial Inc,0.37%,141.06,-0.67,-0.47%,5.31 M,104.24 - 174.32
GPN,Global Payments Inc,0.36%,97.05,-0.33,-0.34%,4.6 M,90.99 - 136.36
CPAY,"Corpay, Inc.",0.35%,346.69,-6.13,-1.74%,0.48 M,247.10 - 400.81
CINF,Cincinnati Financial Corp,0.33%,145.62,-0.60,-0.41%,3.57 M,109.93 - 161.75
CBOE,"Cboe Global Markets, Inc",0.32%,214.77,-4.65,-2.12%,1.53 M,166.13 - 223.51
HBAN,Huntington Bancshares (OH),0.31%,15.02,+0.07,+0.47%,99.69 M,12.05 - 18.45
SYF,Synchrony Financial,0.30%,54.02,+0.15,+0.28%,6.43 M,39.67 - 70.93
TROW,T Rowe Price Group Inc,0.30%,92.83,-0.21,-0.23%,5.92 M,91.37 - 125.81
RF,Regions Financial Corp,0.28%,21.71,+0.03,+0.14%,38.6 M,17.72 - 27.96
NTRS,Northern Trust Corp (IL),0.28%,98.77,-0.10,-0.10%,3.69 M,79.32 - 114.67
WRB,WR Berkley Corp,0.27%,63.24,-0.35,-0.55%,4.18 M,50.73 - 65.49
CFG,Citizens Financial Group Inc,0.26%,41.19,+0.20,+0.49%,17.07 M,32.06 - 49.25
PFG,Principal Financial Group,0.25%,83.26,-0.87,-1.03%,2.54 M,72.21 - 91.98
FDS,FactSet Research System Inc,0.24%,432.86,+1.93,+0.45%,0.54 M,391.84 - 499.87
KEY,KeyCorp,0.23%,16.15,+0.06,+0.37%,57.1 M,13.11 - 20.04
L,Loews Corp,0.23%,87.25,-0.93,-1.05%,2.71 M,72.91 - 88.66
EG,Everest Group Ltd,0.22%,352.42,-2.38,-0.67%,1.35 M,327.37 - 407.30
JKHY,Jack Henry & Associates Inc.,0.18%,173.05,-2.25,-1.28%,0.94 M,157.00 - 196.00
GL,Globe Life Inc.,0.15%,126.83,-1.77,-1.38%,1.74 M,38.95 - 131.39
AIZ,Assurant Inc,0.15%,206.84,-5.21,-2.46%,1.36 M,160.12 - 230.55
ERIE,Erie Indemnity Co A,0.15%,409.94,+0.04,+0.01%,0.28 M,345.09 - 547.00
MKTX,MarketAxess Holdings,0.12%,216.87,-0.95,-0.44%,0.8 M,186.84 - 296.68
IVZ,Invesco Ltd,0.10%,15.32,-0.20,-1.29%,9.86 M,14.16 - 19.55
BEN,Franklin Resources Inc,0.09%,19.87,-0.14,-0.70%,12.33 M,18.83 - 28.15
